"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"NOCA","6/11/2020","AMRO","Turdus migratorius","American Robin","Muscicapidae",1681,"Holmgren_Mandy","Stehekin",,4376,"A","04/27/2021 15:30"
2020,"NOCA","7/22/2020","ATTW","Picoides dorsalis","American Three-toed Woodpecker","Picidae",1009,"Lane_Fanter","Pierce Mtn. Trail",,4336,"A","04/27/2021 15:30"
2020,"NOCA","7/22/2020","BADO","Strix varia","Barred Owl","Strigidae",908,"Lane_Fanter","Pierce Mtn. Trail",,4326,"A","04/27/2021 15:30"
2020,"NOCA","6/19/2020","BAEA","Haliaeetus leucocephalus","Bald Eagle","Accipitridae",839,"Holmgren_Mandy","Stehekin",,4319,"A","04/27/2021 15:30"
2020,"NOCA","7/8/2020","BAGO","Bucephala islandica","Barrow’s Goldeneye","Anatidae",100,"Lane_Fanter","Willow Lake",,4231,"A","04/27/2021 15:30"
2020,"NOCA","7/8/2020","BARS","Hirundo rustica","Barn Swallow","Hirundinidae",1495,"Lane_Fanter","Ross Dam",,4359,"A","04/27/2021 15:30"
2020,"NOCA","6/25/2020","BBWO","Picoides arcticus","Black-backed Woodpecker","Picidae",1010,"Lane_Fanter","Rainbow Point",,4337,"A","04/27/2021 15:30"
2020,"NOCA","6/2/2020","BEKI","Megaceryle alcyon","Belted Kingfisher","Cerylidae",956,"Lane_Fanter","Goodell Creek",,4332,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","BHCO","Molothrus ater","Brown-headed Cowbird","Fringillidae",2038,"Holmgren_Mandy","Stehekin",,4403,"A","04/27/2021 15:30"
2020,"NOCA","6/5/2020","BHGR","Pheucticus melanocephalus","Black-headed Grosbeak","Fringillidae",2169,"Lane_Fanter","Cascade River Rd.",,4400,"A","04/27/2021 15:30"
